,player_id,known_as,nationality
463,290587.0,Ellyes Skhiri,Tunisia
464,,Ghaylene Chaalali,Tunisia
465,184491.0,Naim Sliti,Tunisia
466,,Chaim El Djebali,Tunisia
467,233782.0,Aissa Laidouni,Tunisia
468,,Sayfallah Ltaief,Tunisia
469,,Youssef Msakni,Tunisia
470,,Wahbi Khazri,Tunisia
471,,Taha Yassine Khenissi,Tunisia
472,,Seifeddine Jaziri,Tunisia
473,,Anis Ben Slimane,Tunisia
474,122635.0,Issam Jebali,Tunisia
475,262396.0,Unai Simon,Spain
476,403151.0,Robert Sanchez,Spain
477,262749.0,David Raya,Spain
478,192279.0,Kepa Arrizabalaga,Spain
479,,Dani Carvajal,Spain
480,,Cesar Azpilicueta,Spain
481,15956.0,Jesus Navas,Spain
482,399776.0,Pau Torres,Spain
483,,Hugo Guiillamon,Spain
484,246291.0,Diego Llorente,Spain
485,158863.0,Inigo Martinez,Spain
486,176553.0,Aymeric Laporte,Spain
487,466794.0,Eric Garcia,Spain
488,69751.0,Jordi Alba,Spain
489,,Jose Luis Gaya,Spain
490,193098.0,Alex Moreno,Spain
491,,Alejandro Balde,Spain
492,112515.0,Marcos Alonso,Spain
493,25557.0,Sergio Ramos,Spain
494,65230.0,Sergio Busquets,Spain
495,,Rodrigo Hernandez,Spain
496,683840.0,Pedri,Spain
497,74229.0,Koke,Spain
498,646740.0,Gavi,Spain
499,372246.0,Carlos Soler,Spain
500,282411.0,Marcos Llorente,Spain
501,74230.0,Pablo Sarabia,Spain
502,,Fabian Ruiz,Spain
503,,Thiago Alcantara,Spain
504,309110.0,Brais Mendez,Spain
505,,Mikel Merino,Spain
506,,Sergio Canales,Spain
507,340376.0,Abel Ruiz,Spain
508,,Rodrigo Moreno,Spain
509,177467.0,Gerard Moreno,Spain
510,278359.0,Borja Iglesias,Spain
511,296622.0,Marco Asensio,Spain
512,709187.0,Nico Williams,Spain
513,,Alvaro Morata,Spain
514,568157.0,Yeremy Pino,Spain
515,398184.0,Ferran Torres,Spain
516,293385.0,Dani Olmo,Spain
517,72047.0,Iago Aspas,Spain
518,466810.0,Ansu Fati,Spain
519,,Mikel Oyarzabal,Spain
520,79422.0,Keylor Navas,Costa Rica
521,,Esteban Alvarado,Costa Rica
522,,Patrick Sequeira,Costa Rica
523,,Francisco Calvo,Costa Rica
524,,Juan Pablo Vargas,Costa Rica
525,,Kendall Watson,Costa Rica
526,,Oscar Duarte ,Costa Rica
527,,Daniel Chacon,Costa Rica
528,,Keysher Fuller,Costa Rica
529,,Carlos Martinez,Costa Rica
530,124983.0,Bryan Oviedo,Costa Rica
531,,Ronald Matarrita,Costa Rica
532,,Yeltsin Tejeda ,Costa Rica
533,,Celso Borges ,Costa Rica
534,,Youstin Salas,Costa Rica
535,,Roan Wilson ,Costa Rica
536,,Gerson Torres ,Costa Rica
537,,Douglas Lopez,Costa Rica
538,,Jewison Bennette ,Costa Rica
539,,Alvaro Zamora ,Costa Rica
540,,Anthony Hernandez ,Costa Rica
541,,Brandon Aguilera,Costa Rica
542,,Bryan Ruiz ,Costa Rica
543,,Joel Campbell ,Costa Rica
544,,Anthony Contreras,Costa Rica
545,,Johan Venegas,Costa Rica
546,17259.0,Manuel Neuer,Germany
547,,Marc Andre ter Stegen,Germany
548,45672.0,Kevin Trapp,Germany
549,124502.0,Matthias Ginter,Germany
550,86202.0,Antonio Rudiger,Germany
551,166601.0,Niklas Sule,Germany
552,388198.0,Nico Schlotterbeck,Germany
553,228948.0,Thilo Kehrer,Germany
554,318204.0,David Raum,Germany
555,215599.0,Lukas Klostermann,Germany
556,467563.0,Armel Bella Kotchap,Germany
557,93707.0,Christian Gunter,Germany
558,53622.0,Ilkay Gundogan,Germany
559,7161.0,Jonas Hofmann,Germany
560,153084.0,Leon Goretzka,Germany
561,159471.0,Serge Gnabry,Germany
562,192565.0,Leroy Sane,Germany
563,580195.0,Jamal Musiala,Germany
564,161056.0,Joshua Kimmich,Germany
565,58358.0,Thomas Muller,Germany
566,187492.0,Julian Brandt,Germany
567,74842.0,Mario Gotze,Germany
568,309400.0,Kai Havertz,Germany
569,467720.0,Youssoufa Moukoko,Germany
570,75489.0,Niclas Fullkrug,Germany
571,,Karim Adeyemi,Germany
572,77383.0,Eiji Kawashima,Japan
573,,Shuichi Gonda ,Japan
574,,Daniel Yuji Yabuki Schmidt,Japan
575,,Hiroki Sakai,Japan
576,,Miki Yamane,Japan
577,,Takehiro Tomiyasu ,Japan
578,,Ko Itakura ,Japan
579,,Maya Yoshida ,Japan
580,,Shogo Taniguchi,Japan
581,353892.0,Hiroki Ito,Japan
582,,Yuto Nagatomo ,Japan
583,,Yuta Nakayama ,Japan
584,129693.0,Gaku Shibasaki,Japan
585,146310.0,Wataru Endo,Japan
586,524315.0,Hidemasa Morita,Japan
587,356141.0,Daichi Kamada,Japan
588,,Ao Tanaka,Japan
589,,Takumi Minamino ,Japan
590,348791.0,Junya Ito,Japan
591,245744.0,Takuma Asano,Japan
592,,Yuki Soma,Japan
593,504849.0,Kaoru Mitoma,Japan
594,420931.0,Daizen Maeda,Japan
595,,Ritsu Doan ,Japan
596,,Ayase Ueda,Japan
597,405398.0,Takefusa Kubo,Japan
598,108390.0,Thibaut Courtois,Belgium
599,50219.0,Simon Mignolet,Belgium
600,108880.0,Koen Casteels,Belgium
601,43250.0,Jan Vertonghen,Belgium
602,42710.0,Toby Alderweireld,Belgium
603,168157.0,Leander Dendoncker,Belgium
604,548193.0,Zeno Debast,Belgium
605,368891.0,Arthur Theate,Belgium
606,368891.0,Arthur Theate,Belgium
607,292808.0,Wout Faes,Belgium
608,137576.0,Hans Vanaken,Belgium
609,35047.0,Axel Witsel,Belgium
610,249565.0,Youri Tielemans,Belgium
611,485706.0,Amadou Onana,Belgium
612,88755.0,Kevin De Bruyne,Belgium
613,140776.0,Yannick Carrasco,Belgium
614,102226.0,Thorgan Hazard,Belgium
615,262226.0,Timothy Castagne,Belgium
616,100986.0,Thomas Meunier,Belgium
617,96341.0,Romelu Lukaku,Belgium
618,179184.0,Michy Batshuayi,Belgium
619,368887.0,Lois Openda,Belgium
620,368887.0,Lois Openda,Belgium
621,435772.0,Charles De Ketelaere,Belgium
622,50202.0,Eden Hazard,Belgium
623,486049.0,Jeremy Doku,Belgium
624,486049.0,Jeremy Doku,Belgium
625,56416.0,Dries Mertens,Belgium
626,144028.0,Leandro Trossard,Belgium
627,,Dayne St. Clair,Canada
628,,Maxime Crepeau,Canada
629,67797.0,Milan Borjan,Canada
630,,Alistair Johnston,Canada
631,,Kamal Miller,Canada
632,54716.0,Steven Vitoria,Canada
633,,Derek Cornelius,Canada
634,,Scott Kennedy,Canada
635,,Joel Robert Waterman,Canada
636,,Samuel Adekugbe,Canada
637,,Samuel Piette,Canada
638,512913.0,Stephen Eustaquio,Canada
639,,Ismael Kenneth Jordan Kone,Canada
640,58993.0,Junior Hoilett,Canada
641,,Mark Anthony Kaye,Canada
642,424204.0,Alphonso Davies,Canada
643,,Richie Laryea,Canada
644,,Luca Warrick Daeovie Koleosho,Canada
645,,Lucas Cavallini,Canada
646,638793.0,Tajon Buchanan,Canada
647,339943.0,Ike Ugbo,Canada
648,,Charles Andreas Brym,Canada
649,343463.0,Cyle Larin,Canada
650,533738.0,Jonathan David,Canada
651,,Liam Alan Millar,Canada
652,,Theodor Corbeanu,Canada
653,,Bono,Morocco
654,,Munir El Kajoui,Morocco
655,,Ahmed Tagnaouti,Morocco
656,361914.0,Nayef Aguerd,Morocco
657,,Yahia Attiyat Allah,Morocco
