,date,home_team,away_team,home_team_fifa_rank,away_team_fifa_rank,home_team_score,away_team_score,tournament,country,neutral_location,shoot_out,home_team_result,year,stage,win_conditions,worldcup_id
3094,1998-06-16,Brazil,Morocco,1.0,13.0,3.0,0.0,FIFA World Cup,France,True,No,Win,1998,Group A, ,FIFAWorldCup1998
3095,1998-06-16,Scotland,Norway,41.0,7.0,1.0,1.0,FIFA World Cup,France,True,No,Draw,1998,Group A, ,FIFAWorldCup1998
3096,1998-06-17,Chile,Austria,9.0,31.0,1.0,1.0,FIFA World Cup,France,True,No,Draw,1998,Group B, ,FIFAWorldCup1998
3097,1998-06-17,Italy,Cameroon,14.0,49.0,3.0,0.0,FIFA World Cup,France,True,No,Win,1998,Group B, ,FIFAWorldCup1998
3098,1998-06-18,France,Saudi Arabia,18.0,34.0,4.0,0.0,FIFA World Cup,France,False,No,Win,1998,Group C, ,FIFAWorldCup1998
3099,1998-06-18,South Africa,Denmark,24.0,27.0,1.0,1.0,FIFA World Cup,France,True,No,Draw,1998,Group C, ,FIFAWorldCup1998
3100,1998-06-19,Nigeria,Bulgaria,74.0,35.0,1.0,0.0,FIFA World Cup,France,True,No,Win,1998,Group D, ,FIFAWorldCup1998
3101,1998-06-19,Spain,Paraguay,15.0,29.0,0.0,0.0,FIFA World Cup,France,True,No,Draw,1998,Group D, ,FIFAWorldCup1998
3102,1998-06-20,Belgium,Mexico,36.0,4.0,2.0,2.0,FIFA World Cup,France,True,No,Draw,1998,Group E, ,FIFAWorldCup1998
3103,1998-06-20,Japan,Croatia,12.0,19.0,0.0,1.0,FIFA World Cup,France,True,No,Lose,1998,Group H, ,FIFAWorldCup1998
3104,1998-06-20,Netherlands,Korea Republic,25.0,20.0,5.0,0.0,FIFA World Cup,France,True,No,Win,1998,Group E, ,FIFAWorldCup1998
3105,1998-06-21,Argentina,Jamaica,6.0,30.0,5.0,0.0,FIFA World Cup,France,True,No,Win,1998,Group H, ,FIFAWorldCup1998
3106,1998-06-21,USA,IR Iran,11.0,42.0,1.0,2.0,FIFA World Cup,France,True,No,Lose,1998,,,
3107,1998-06-22,Colombia,Tunisia,10.0,21.0,1.0,0.0,FIFA World Cup,France,True,No,Win,1998,Group G, ,FIFAWorldCup1998
3109,1998-06-22,Romania,England,22.0,5.0,2.0,1.0,FIFA World Cup,France,True,No,Win,1998,Group G, ,FIFAWorldCup1998
3110,1998-06-23,Brazil,Norway,1.0,7.0,1.0,2.0,FIFA World Cup,France,True,No,Lose,1998,Group A, ,FIFAWorldCup1998
3111,1998-06-23,Chile,Cameroon,9.0,49.0,1.0,1.0,FIFA World Cup,France,True,No,Draw,1998,Group B, ,FIFAWorldCup1998
3112,1998-06-23,Italy,Austria,14.0,31.0,2.0,1.0,FIFA World Cup,France,True,No,Win,1998,Group B, ,FIFAWorldCup1998
3113,1998-06-23,Scotland,Morocco,41.0,13.0,0.0,3.0,FIFA World Cup,France,True,No,Lose,1998,Group A, ,FIFAWorldCup1998
3115,1998-06-24,France,Denmark,18.0,27.0,2.0,1.0,FIFA World Cup,France,False,No,Win,1998,Group C, ,FIFAWorldCup1998
3116,1998-06-24,Nigeria,Paraguay,74.0,29.0,1.0,3.0,FIFA World Cup,France,True,No,Lose,1998,Group D, ,FIFAWorldCup1998
3117,1998-06-24,South Africa,Saudi Arabia,24.0,34.0,2.0,2.0,FIFA World Cup,France,True,No,Draw,1998,Group C, ,FIFAWorldCup1998
3118,1998-06-24,Spain,Bulgaria,15.0,35.0,6.0,1.0,FIFA World Cup,France,True,No,Win,1998,Group D, ,FIFAWorldCup1998
3119,1998-06-25,Belgium,Korea Republic,36.0,20.0,1.0,1.0,FIFA World Cup,France,True,No,Draw,1998,Group E, ,FIFAWorldCup1998
3121,1998-06-25,Germany,IR Iran,2.0,42.0,2.0,0.0,FIFA World Cup,France,True,No,Win,1998,,,
3122,1998-06-25,Netherlands,Mexico,25.0,4.0,2.0,2.0,FIFA World Cup,France,True,No,Draw,1998,Group E, ,FIFAWorldCup1998
3123,1998-06-26,Argentina,Croatia,6.0,19.0,1.0,0.0,FIFA World Cup,France,True,No,Win,1998,Group H, ,FIFAWorldCup1998
3125,1998-06-26,Colombia,England,10.0,5.0,0.0,2.0,FIFA World Cup,France,True,No,Lose,1998,Group G, ,FIFAWorldCup1998
3126,1998-06-26,Japan,Jamaica,12.0,30.0,1.0,2.0,FIFA World Cup,France,True,No,Lose,1998,Group H, ,FIFAWorldCup1998
3128,1998-06-26,Romania,Tunisia,22.0,21.0,1.0,1.0,FIFA World Cup,France,True,No,Draw,1998,Group G, ,FIFAWorldCup1998
3129,1998-06-27,Brazil,Chile,1.0,9.0,4.0,1.0,FIFA World Cup,France,True,No,Win,1998,Round of 16, ,FIFAWorldCup1998
3130,1998-06-27,Italy,Norway,14.0,7.0,1.0,0.0,FIFA World Cup,France,True,No,Win,1998,Round of 16, ,FIFAWorldCup1998
3133,1998-06-28,France,Paraguay,18.0,29.0,1.0,0.0,FIFA World Cup,France,False,No,Win,1998,Round of 16,France win after extra time ,FIFAWorldCup1998
3134,1998-06-28,Nigeria,Denmark,74.0,27.0,1.0,4.0,FIFA World Cup,France,True,No,Lose,1998,Round of 16, ,FIFAWorldCup1998
3135,1998-06-29,Germany,Mexico,2.0,4.0,2.0,1.0,FIFA World Cup,France,True,No,Win,1998,Round of 16, ,FIFAWorldCup1998
3137,1998-06-30,Argentina,England,6.0,5.0,2.0,2.0,FIFA World Cup,France,True,Yes,Win,1998,Round of 16,Argentina win on penalties (4 - 3) ,FIFAWorldCup1998
3138,1998-06-30,Romania,Croatia,22.0,19.0,0.0,1.0,FIFA World Cup,France,True,No,Lose,1998,Round of 16, ,FIFAWorldCup1998
3140,1998-07-03,Brazil,Denmark,1.0,27.0,3.0,2.0,FIFA World Cup,France,True,No,Win,1998,Quarter-finals, ,FIFAWorldCup1998
3141,1998-07-03,France,Italy,18.0,14.0,0.0,0.0,FIFA World Cup,France,False,Yes,Win,1998,,,
3142,1998-07-04,Germany,Croatia,2.0,19.0,0.0,3.0,FIFA World Cup,France,True,No,Lose,1998,Quarter-finals, ,FIFAWorldCup1998
3143,1998-07-04,Netherlands,Argentina,25.0,6.0,2.0,1.0,FIFA World Cup,France,True,No,Win,1998,Quarter-finals, ,FIFAWorldCup1998
3147,1998-07-07,Brazil,Netherlands,1.0,25.0,1.0,1.0,FIFA World Cup,France,True,Yes,Win,1998,Semi-finals,Brazil win on penalties (4 - 2) ,FIFAWorldCup1998
